pc_id,position_name,value,club_id
58831,Batter,6.0,3808
4047187,Batter,6.0,3808
3922000,Batter,6.0,3808
16396,Batter,6.0,3808
4083006,Batter,6.0,3808
16401,Batter,5.5,3808
16398,Batter,5.0,3808
3599192,Batter,5.0,3808
1008743,Batter,5.0,3808
438958,Batter,5.0,3808
47834,Batter,4.0,3808
3853003,Batter,4.0,3808
3636411,Batter,4.0,3808
512119,Batter,4.0,3808
1530237,Batter,4.0,3808
4133782,Batter,4.0,3808
4180527,Batter,3.5,3808
4179695,Batter,3.0,3808
3599198,Batter,2.5,3808
1708838,Batter,2.0,3808
4130133,Batter,2.0,3808
1723844,Batter,2.0,3808
3404268,Batter,2.0,3808
4007427,Batter,2.0,3808
4179696,Batter,2.0,3808
3871882,Batter,2.0,3808
4161575,Batter,2.0,3808
47836,Batter,1.5,3808
3895694,Batter,1.5,3808
1305490,Batter,1.5,3808
3633185,Batter,1.0,3808
1758830,Batter,1.0,3808
4007426,Batter,1.0,3808
3630206,Batter,1.0,3808
3989898,Batter,1.0,3808
4161573,Batter,1.0,3808
3435110,Batter,1.0,3808
1728520,Batter,1.0,3808
1118046,Batter,1.0,3808
1677527,Batter,1.0,3808
2667956,Batter,1.0,3808
3932615,Batter,1.0,3808
3895925,Batter,1.0,3808
3404261,Batter,1.0,3808
2765708,All Rounder,10.0,3808
16404,All Rounder,5.5,3808
3794565,All Rounder,5.0,3808
738622,All Rounder,5.0,3808
3599191,All Rounder,4.5,3808
1432865,All Rounder,4.0,3808
4185880,All Rounder,4.0,3808
1445766,All Rounder,3.5,3808
16397,All Rounder,3.5,3808
3641582,All Rounder,2.0,3808
3404267,All Rounder,1.0,3808
3621888,All Rounder,1.0,3808
739704,Keeper,6.0,3808
1797497,Keeper,5.5,3808
4161571,Bowler,6.0,3808
16402,Bowler,6.0,3808
3299543,Bowler,5.5,3808
124925,Bowler,5.0,3808
3578638,Bowler,5.0,3808
47837,Bowler,5.0,3808
1039838,Bowler,5.0,3808
3932614,Bowler,5.0,3808
790672,Bowler,4.5,3808
4148200,Bowler,4.0,3808
3590286,Bowler,4.0,3808
3775742,Bowler,4.0,3808
1118038,Bowler,3.0,3808
4131838,Bowler,2.0,3808
2642386,Bowler,2.0,3808
814145,Bowler,2.0,3808
4219935,Bowler,1.0,3808
23469,Batter,10.0,137
2703127,Batter,9.5,137
5046,Batter,9.0,137
322944,Batter,8.0,137
3363313,Batter,7.5,137
347763,Batter,7.0,137
909021,Batter,7.0,137
337885,Batter,6.5,137
575736,Batter,6.5,137
484439,Batter,6.0,137
3550462,Batter,5.0,137
3958818,Batter,4.5,137
45368,Batter,4.0,137
3619594,Batter,4.0,137
58714,Batter,3.5,137
3148894,Batter,3.5,137
739657,Batter,3.0,137
3589324,Batter,3.0,137
7766,Batter,2.5,137
2917455,Batter,2.0,137
966190,Batter,1.5,137
1460077,Batter,1.5,137
50477,All Rounder,10.0,137
7765,All Rounder,10.0,137
23470,All Rounder,6.5,137
410174,All Rounder,6.0,137
39314,All Rounder,5.0,137
397827,All Rounder,4.5,137
567956,All Rounder,3.5,137
3366244,All Rounder,3.0,137
4324494,All Rounder,2.5,137
31681,All Rounder,2.0,137
3324061,All Rounder,1.5,137
3878279,All Rounder,1.5,137
3366414,All Rounder,0.5,137
32031,Keeper,8.0,137
984126,Keeper,6.0,137
3621388,Keeper,5.0,137
3663304,Keeper,4.0,137
3812899,Keeper,3.0,137
4169379,Keeper,2.5,137
